"college_name","Address","name","city_name","state","pop","lat","long","capital"
"Lehigh University","27 Memorial Drive West, Bethlehem, PA 18015","Bethlehem PA","Bethlehem","PA",74087,40.63,-75.37,0
"Pennsylvania State University","201 Old Main Building, University Park, PA 16802-1589","University Park PA","University Park","PA",NA,NA,NA,NA
"Temple University","1801 North Broad Street, Philadelphia, PA 19122-6096","Philadelphia PA","Philadelphia","PA",1439814,40.01,-75.13,0
"Brown University","1 Prospect St, Providence, RI 02912","Providence RI","Providence","RI",178295,41.82,-71.42,2
"Clemson University","201 Sikes Hall, Clemson, SC 29634","Clemson SC","Clemson","SC",NA,NA,NA,NA
"University of Memphis","341 Administration Building, Memphis, TN 38152","Memphis TN","Memphis","TN",639736,35.11,-90.01,0
"Vanderbilt University","2101 West End Avenue, Nashville, TN 37240","Nashville TN","Nashville","TN",523547,36.17,-86.78,2
"University of Houston","4800 Calhoun Rd., Houston, TX 77204-2018","Houston TX","Houston","TX",2043005,29.77,-95.39,0
"University of North Texas","1155 Union Circle #311277, Denton, TX 76203","Denton TX","Denton","TX",105431,33.21,-97.13,0
"Rice University","6100 S Main, Houston, TX 77005","Houston TX","Houston","TX",2043005,29.77,-95.39,0
"Southern Methodist University","6425 Boaz St, Dallas, TX 75275-0221","Dallas TX","Dallas","TX",1216543,32.79,-96.77,0
"Texas A M University","Texas A&M University, College Station, TX 77843","College Station TX","College Station","TX",80627,30.6,-96.31,0
"University of Texas at Austin","110 Inner Campus Drive, Austin, TX 78712","Austin TX","Austin","TX",683404,30.31,-97.75,2
"Brigham Young University","Main Campus, Provo, UT 84602","Provo UT","Provo","UT",105832,40.25,-111.64,0
"Utah State University","Old Main Hill, Logan, UT 84322-1400","Logan UT","Logan","UT",45262,41.74,-111.84,0
"University of Utah","201 Presidents Circle, Salt Lake City, UT 84112-9008","Salt Lake City UT","Salt Lake City","UT",177318,40.78,-111.93,2
"University of Vermont","85 S Prospect St, Burlington, VT 05405-0160","Burlington VT","Burlington","VT",NA,NA,NA,NA
"College of William and Mary","P.O. Box 8795, Williamsburg, VA 23187-8795","Williamsburg VA","Williamsburg","VA",NA,NA,NA,NA
"George Mason University","4400 University Dr, Fairfax, VA 22030-4444","Fairfax VA","Fairfax","VA",NA,NA,NA,NA
"Old Dominion University","5115 Hampton Blvd, Norfolk, VA 23529","Norfolk VA","Norfolk","VA",248182,36.92,-76.24,0
"Virginia Commonwealth University","910 W Franklin St, Richmond, VA 23284-2512","Richmond VA","Richmond","VA",189498,37.53,-77.47,2
"University of Virginia","1707 University Avenue, Charlottesville, VA 22904","Charlottesville VA","Charlottesville","VA",NA,NA,NA,NA
"Washington State University","French Administration Building, Pullman, WA 99164-1009","Pullman WA","Pullman","WA",NA,NA,NA,NA
